,clusterNumber100,boundId,unboundId,bound_TechExp,unbound_TechExp,classification
110,19510,2A0I_A,2Q7U_A 2Q7U_B 2Q7T_A 2Q7T_B,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"hydrolase/dna,hydrolase"
113,19633,6ZNQ_B 6ZNQ_A 6ZNP_B 6ZNP_A,6ZNS_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,hydrolase
115,19698,5XS0_O 5XS0_G 5XS0_I,1H2I_L 1KN0_F 1KN0_D 1H2I_V 1H2I_K 1H2I_P 1H2I_F 1H2I_T 1H2I_U 1H2I_G 1H2I_H 1H2I_B 1KN0_E 1H2I_C 1KN0_K 1H2I_S 1KN0_B 1KN0_J 1H2I_E 1H2I_O 1H2I_A 1H2I_Q 1H2I_I 1KN0_C 1KN0_H 1H2I_J 1KN0_I 1H2I_R 1KN0_A 1KN0_G 1H2I_M 1H2I_D 1H2I_N,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"recombination,dna binding protein"
116,19770,3PJR_A,1PJR_A 1QHG_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"hydrolase/dna,hydrolase helicase"
117,20203,6P4F_D 6P4F_B,6P4W_B 6P4W_D,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"hydrolase/dna,hydrolase/dna binding protein"
120,23359,6BHX_B,6BHW_F 6BHW_B 6BHW_C 6BHW_G 6BHW_E 6BHW_D 6BHW_A 6BHW_H,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"dna binding protein,dna binding protein/dna"
121,23489,6KDV_D 6KDV_C 6KDV_B 6KDV_A,6KE1_B 6KE1_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"dna binding protein,dna binding protein/dna"
122,23556,6QEM_K 6QEM_J 6QEM_G,6QEL_L 6QEL_G 6QEL_I 6QEL_H 6QEL_K 6QEL_J,ELECTRON MICROSCOPY,ELECTRON MICROSCOPY,replication
124,25485,5ZYU_B 5ZYU_A,5ZYW_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"dna binding protein,dna binding protein/dna"
126,26147,5CHI_C 5CHI_A 5CHI_B,4O8U_A 4O8U_B 4O8U_E 4O8U_F 4O8U_D 4O8U_C,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"hydrolase/dna,unknown function"
128,27526,3PX7_A,3PWT_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"isomerase,isomerase/dna"
129,27998,4G0R_A,4GBT_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"virus,virus/dna"
131,28835,1JMC_A,1FGU_A 1FGU_B,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"replication/dna,replication"
132,29076,5ORQ_A,5ORM_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,de novo protein
137,31837,1MW8_X,1MW9_X,X-RAY DIFFRACTION,X-RAY DIFFRACTION,isomerase
138,32210,5ZG9_A,4AGH_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transcription,dna binding protein/dna"
139,32559,1ZVV_B 1ZVV_A 1ZVV_G,2JCG_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"transcription,transcription/dna"
141,33173,3UDG_A 3UDG_C 3UDG_B,1SE8_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"dna binding protein,dna binding protein/dna"
148,34877,7CSZ_A,7CSX_A,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"rna binding protein/dna,rna binding protein"
149,36247,2CCZ_A,1V1Q_A 1V1Q_B,X-RAY DIFFRACTION,X-RAY DIFFRACTION,"dna/replication,dna binding"
151,37050,5ODL_A,5ODK_B 5ODK_A 5ODK_C,X-RAY DIFFRACTION,X-RAY DIFFRACTION,dna binding protein
